result,porcentaje,anio
1,66.05954226315309,2019
2,12.733655511990516,2019
7,11.919850460472325,2019
5,5.4960335552110875,2019
3,3.268897601896599,2019
4,0.5220206072763746,2019
1,58.38122157123337,2020
7,28.699249386968162,2020
2,6.178986578814368,2020
5,3.4722872171162233,2020
3,2.4352806843494377,2020
4,0.8329745615184471,2020
1,69.16873449131513,2021
7,11.177741016450694,2021
2,9.511993382961125,2021
5,6.189688447752964,2021
3,3.1316055509603897,2021
4,0.8202371105596912,2021
1,66.20733420969131,2022
7,12.173065590861702,2022
2,11.334481664475772,2022
5,6.4185667014187935,2022
3,3.06649743891936,2022
4,0.8000543946330629,2022
1,64.84744693316509,2023
7,12.87349587633512,2023
2,11.510207760602102,2023
5,6.579836856099869,2023
3,3.589616476632566,2023
4,0.5993960971652621,2023
1,61.75359370458966,2024
2,13.565536205316223,2024
7,13.4470501441953,2024
5,7.017504638841072,2024
3,3.661889964454182,2024
4,0.5544253426035636,2024
1,61.12244669162986,2025
2,14.444270050898004,2025
7,13.399403574071167,2025
5,6.818538532254087,2025
3,3.556133545595193,2025
4,0.659207605551694,2025
