region_natural,total_hogares,no_respuestas,tasa_media,porcentaje_no_respuesta
Costa,13247,2926,0.22088019929040537,22.088019929040538
Lima Metropolitana,5572,1482,0.2659727207465901,26.597272074659013
Selva,9239,2028,0.2195042753544756,21.95042753544756
Sierra,16673,4604,0.2761350686739039,27.61350686739039
