region_natural,total_hogares,no_respuestas,tasa_media,porcentaje_no_respuesta
Costa,13318,2916,0.2189517945637483,21.89517945637483
Lima Metropolitana,5577,1448,0.25963779809933657,25.96377980993366
Selva,9150,1954,0.21355191256830602,21.3551912568306
Sierra,16554,4579,0.2766098828077806,27.66098828077806
